"But the staff was so horrible to us.","1","['staff']","['negative']"
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","1","['food']","['positive']"
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","3","['food', 'kitchen', 'menu']","['positive', 'positive', 'neutral']"
"Not only was the food outstanding, but the little perks were great.","2","['food', 'perks']","['positive', 'positive']"
"Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).","4","['orrechiete with sausage and chicken', 'waiters', 'dish', 'meats']","['positive', 'positive', 'neutral', 'neutral']"
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","1","['Bagels']","['positive']"
"Nevertheless the food itself is pretty good.","1","['food']","['positive']"
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","7","['mayonnaise', 'toast', 'ingredients', 'cheese', 'omelet', 'bacon', 'plate']","['negative', 'negative', 'negative', 'neutral', 'neutral', 'negative', 'neutral']"
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","2","['check', 'drinks']","['neutral', 'neutral']"
"The design and atmosphere is just as good.","2","['design', 'atmosphere']","['positive', 'positive']"
"He has visited Thailand and is quite expert on the cuisine.","1","['cuisine']","['positive']"
"The pizza is the best if you like thin crusted pizza.","2","['pizza', 'thin crusted pizza']","['positive', 'neutral']"
"All the money went into the interior decoration, none of it went to the chefs.","2","['interior decoration', 'chefs']","['positive', 'negative']"
"The seats are uncomfortable if you are sitting against the wall on wooden benches.","1","['seats']","['negative']"
"I asked for seltzer with lime, no ice.","1","['seltzer with lime']","['neutral']"
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","2","['pickles', 'selection of meats and seafoods']","['positive', 'positive']"
"My suggestion is to eat family style because you'll want to try the other dishes.","2","['eat family style', 'dishes']","['positive', 'neutral']"
"Best of all is the warm vibe, the owner is super friendly and service is fast.","3","['vibe', 'owner', 'service']","['positive', 'positive', 'positive']"
"Faan's got a great concept but a little rough on the delivery.","1","['delivery']","['negative']"
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","3","['food', 'atmosphere', 'service']","['positive', 'positive', 'positive']"
"Great food at REASONABLE prices, makes for an evening that can't be beat!","2","['food', 'prices']","['positive', 'positive']"
"this little place has a cute interior decor and affordable city prices.","2","['interior decor', 'prices']","['positive', 'positive']"
"Two words: Free wine.","1","['wine']","['positive']"
"The price is reasonable although the service is poor.","2","['price', 'service']","['positive', 'negative']"
"The quantity is also very good, you will come out satisfied.","1","['quantity']","['positive']"
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","2","['sushi', 'sushi bar']","['neutral', 'neutral']"
"The fried rice is amazing here.","1","['fried rice']","['positive']"
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","5","['courses', 'mussels', 'puff pastry goat cheese', 'salad with a delicious dressing', 'hanger steak au poivre']","['neutral', 'positive', 'positive', 'positive', 'positive']"
"it's a perfect place to have a amanzing indian food.","1","['indian food']","['positive']"
"The place is so cool and the service is prompt and curtious.","2","['place', 'service']","['positive', 'positive']"
"At the end you're left with a mild broth with noodles that you can slurp out of a cup.","1","['broth with noodles']","['positive']"
"I just wonder how you can have such a delicious meal for such little money.","2","['meal', 'money']","['positive', 'positive']"
"The wine list is excellent.","1","['wine list']","['positive']"
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","1","['Thai food']","['positive']"
"They wouldnt even let me finish my glass of wine before offering another.","1","['glass of wine']","['neutral']"
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","1","['specials']","['neutral']"
"This is a consistently great place to dine for lunch or dinner.","3","['dine', 'lunch', 'dinner']","['positive', 'neutral', 'neutral']"
"Nice atmosphere, the service was very pleasant and the desert was good.","3","['atmosphere', 'service', 'desert']","['positive', 'positive', 'positive']"
"After really enjoying ourselves at the bar we sat down at a table and had dinner.","3","['bar', 'table', 'dinner']","['positive', 'neutral', 'neutral']"
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","4","['service', 'food', 'atmosphere', 'environment']","['positive', 'positive', 'positive', 'positive']"
"Try the lasagnette appetizer.","1","['lasagnette appetizer']","['positive']"
"I liked the beer selection!","1","['beer selection']","['positive']"
"Great food, good size menu, great service and an unpretensious setting.","4","['food', 'menu', 'service', 'setting']","['positive', 'positive', 'positive', 'positive']"
"Go here for a romantic dinner but not for an all out wow dining experience.","2","['dinner', 'dining']","['positive', 'positive']"
"I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.","1","['Dosa']","['neutral']"
"Wine list selection is good and wine-by-the-glass was generously filled to the top.","2","['Wine list selection', 'wine-by-the-glass']","['positive', 'positive']"
"With the great variety on the menu , I eat here often and never get bored .","1","['menu']","['positive']"
"The menu is very limited - i think we counted 4 or 5 entrees.","2","['menu', 'entrees']","['negative', 'negative']"
"The menu is limited but almost all of the dishes are excellent.","2","['menu', 'dishes']","['negative', 'positive']"
"Not too crazy about their sake martini.","1","['sake martini']","['negative']"
"Great bagels, spreads and a good place to hang out in.","2","['bagels', 'spreads']","['positive', 'positive']"
"One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.","1","['table']","['neutral']"
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","1","['food']","['positive']"
"We always have a delicious meal and always leave feeling satisfied.","1","['meal']","['positive']"
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","2","['ingredients', 'chopsticks']","['neutral', 'neutral']"
"First went here to enjoy their garden terrace.","1","['garden terrace']","['positive']"
"The pizza was pretty good and huge.","1","['pizza']","['positive']"
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","1","['cuisine']","['neutral']"
"I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.","1","['atmosphere']","['positive']"
"They are often crowded on the weekends but they are efficient and accurate with their service.","2","['crowded', 'service']","['negative', 'positive']"
"All my co-workers were amazed at how small the dish was.","1","['dish']","['negative']"
"The atmosphere is unheralded, the service impecible, and the food magnificant.","3","['atmosphere', 'service', 'food']","['positive', 'positive', 'positive']"
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","1","['grilled branzino']","['negative']"
"The wait staff is friendly, and the food has gotten better and better!","2","['wait staff', 'food']","['positive', 'positive']"
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","3","['packed', 'vibe', 'French food']","['negative', 'positive', 'positive']"
"Right off the L in Brooklyn this is a nice cozy place with good pizza.","2","['place', 'pizza']","['positive', 'positive']"
"Le Pere Pinard has a $15 pre-theater menu that is outstanding.","1","['pre-theater menu']","['positive']"
"I also ordered for delivery and the restaurant forgot half the order.","2","['delivery', 'order']","['negative', 'negative']"
"Our server checked on us maybe twice during the entire meal.","2","['server', 'meal']","['negative', 'neutral']"
"The strong scents coming from the left and right of me negatively affected my taste buds.","1","['scents']","['negative']"
"We had the lobster sandwich and it was FANTASTIC.","1","['lobster sandwich']","['positive']"
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","1","['check']","['negative']"
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","2","['shell crab', 'price']","['positive', 'positive']"
"Deep Fried Skewers are good and still rare to find in NYC.","1","['Deep Fried Skewers']","['positive']"
"I have tried to make reservations, but both times, the hostess didn't have my name.","2","['reservations', 'hostess']","['neutral', 'negative']"
"I also recommend the rice dishes or the different varieties of congee (rice porridge).","2","['rice dishes', 'congee (rice porridge)']","['positive', 'positive']"
"Their tuna tartar appetizer is to die for.","1","['tuna tartar appetizer']","['positive']"
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","5","['cuisine', 'chef', 'kitchen', 'fish dishes', 'soups']","['positive', 'positive', 'positive', 'positive', 'positive']"
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","3","['wine', 'cheese', 'french fare']","['positive', 'positive', 'positive']"
"I love Indian food and consider myself to be quite an expert on it.","1","['Indian food']","['positive']"
"Some baby pizzas get their wish.","1","['baby pizzas']","['neutral']"
"Overall A oh ya even though there is waiting it is deff worth it","1","['waiting']","['negative']"
"The lava cake dessert was incredible and I recommend it.","1","['lava cake dessert']","['positive']"
"VT is what baby pizzas hope to be when they grow up.","1","['baby pizzas']","['neutral']"
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","3","['service', 'food', 'managers']","['negative', 'negative', 'negative']"
"Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.","2","['food', 'food']","['positive', 'positive']"
"The last time I went we were seated at a table in a corridor next to the kitchen.","1","['table']","['negative']"
"good selection of wines ranging from affordable to high end.","1","['selection of wines']","['positive']"
"Nice restaurant overall, with classic upscale Italian decor.","1","['Italian decor']","['positive']"
"Not impressed with the food.","1","['food']","['negative']"
"The entire dining experience was wonderful!","1","['dining experience']","['positive']"
"The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.","2","['wine selection', 'reservation']","['positive', 'neutral']"
"Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.","3","['Service', 'reservation', 'maitre']","['positive', 'negative', 'positive']"
"Order the panang duck, it's fantastic.","1","['panang duck']","['positive']"
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","1","['raw vegatables']","['negative']"
"Other than the crappy service from two individuals, it's great.","1","['service']","['negative']"
"They have authentic Indian at amazin prices.","2","['Indian', 'prices']","['positive', 'positive']"
"Ambiance- relaxed and stylish.","1","['Ambiance']","['positive']"
