"I charge it at night and skip taking the cord with me because of the good battery life.","2","['cord', 'battery life']","['neutral', 'positive']"
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","3","['tech guy', 'service center', '""sales"" team']","['neutral', 'negative', 'negative']"
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","4","['quality', 'GUI', 'applications', 'use']","['positive', 'positive', 'positive', 'positive']"
"Easy to start up and does not overheat as much as other laptops.","1","['start up']","['positive']"
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!","4","['features', 'iChat', 'Photobooth', 'garage band']","['positive', 'positive', 'positive', 'positive']"
"Great laptop that offers many great features!","1","['features']","['positive']"
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","4","['GUI', 'screen', 'power light', 'hard drive light']","['negative', 'negative', 'neutral', 'negative']"
"I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.","1","['battery']","['neutral']"
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).","2","['rubber enclosure', 'edge']","['positive', 'negative']"
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","4","['multi-touch gestures', 'tracking area', 'external mouse', 'gaming']","['positive', 'positive', 'neutral', 'neutral']"
"I love the way the entire suite of software works together.","1","['suite of software']","['positive']"
"The speed is incredible and I am more than satisfied.","1","['speed']","['positive']"
"This laptop meets every expectation and Windows 7 is great!","1","['Windows 7']","['positive']"
"I can barely use any usb devices because they will not stay connected properly.","1","['usb devices']","['negative']"
"When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.","2","['software', 'system']","['neutral', 'negative']"
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.","1","['Microsoft office for the mac']","['negative']"
"Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.","1","['syncing']","['positive']"
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","2","['30"" HD Monitor', 'screen']","['positive', 'neutral']"
"The machine is slow to boot up and occasionally crashes completely.","1","['boot up']","['negative']"
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.","1","['service']","['negative']"
"I love the operating system and the preloaded software.","2","['operating system', 'preloaded software']","['positive', 'positive']"
"The best thing about this laptop is the price along with some of the newer features.","2","['price', 'features']","['positive', 'positive']"
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).","1","['clock in BIOS setup']","['negative']"
"YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.","1","['WARRANTY SERVICE']","['negative']"
"but now i have realized its a problem with this brand.","1","['brand']","['negative']"
"I sent it back to Toshiba twice they covered it under the  warranty.","1","['warranty']","['positive']"
"I was looking for a mac which is portable and has all the features that I was looking for.","1","['features']","['positive']"
"Also kinda loud when the fan was running.","1","['fan']","['negative']"
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","3","['Customer Service number', 'warranty', 'talking to a technician']","['neutral', 'negative', 'negative']"
"There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.","3","['hard disc', 'windows', 'drivers']","['negative', 'negative', 'neutral']"
"Drivers updated ok but the BIOS update froze the system up and the computer shut down.","3","['Drivers', 'BIOS update', 'system']","['positive', 'negative', 'negative']"
"Spent 2 hours on phone with HP Technical Support.","1","['HP Technical Support']","['neutral']"
"Speaking of the browser, it too has problems.","1","['browser']","['negative']"
"The keyboard is too slick.","1","['keyboard']","['negative']"
"Nightly my computer defrags itself and runs a virus scan.","1","['virus scan']","['neutral']"
"It's like 9 punds, but if you can look past it, it's GREAT!","1","['9 punds']","['negative']"
"It's just as fast with one program open as it is with sixteen open.","1","['program']","['neutral']"
"Still under warrenty so called Toshiba, no help at all.","1","['warrenty']","['negative']"
"I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.","1","['Toshiba Warranty']","['negative']"
"Amazing Quality!","1","['Quality']","['positive']"
"The fact that you can spend over $100 on just a webcam underscores the value of this machine.","2","['webcam', 'value']","['neutral', 'positive']"
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).","2","['internet', 'managing personal files']","['neutral', 'neutral']"
"A month or so ago, the freaking motherboard just died.","1","['motherboard']","['negative']"
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.","1","['system']","['negative']"
"Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.","2","['charger', 'hardware']","['negative', 'negative']"
"If a website ever freezes (which is rare), its really easy to force quit.","1","['force quit']","['positive']"
"It rarely works and when it does it's incredibly slow.","1","['works']","['negative']"
"I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.","2","['Windows 7', 'VMWare program']","['positive', 'neutral']"
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!","4","['navigate', 'operating system', 'find files', 'runs']","['positive', 'positive', 'positive', 'positive']"
"Purchased a Toshiba Lap top it worked good until just after the warrenty went out.","1","['warrenty']","['negative']"
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.","1","['extended warranty']","['neutral']"
"We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.","3","['memory', 'performace', 'speed']","['neutral', 'positive', 'positive']"
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.","1","['opening my Documents folder']","['negative']"
"I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.","1","['operating systems']","['negative']"
"Then, within 5 months, the charger crapped out on me.","1","['charger']","['negative']"
"And if you have a iphone or ipod touch you can connect and download songs to it at high speed.","1","['speed']","['positive']"
"I love the glass touchpad.","1","['glass touchpad']","['positive']"
"  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.","2","['hard drive', 'mother board']","['negative', 'negative']"
"I am using the external speaker- sound is good.","2","['external speaker', 'sound']","['positive', 'positive']"
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.","1","['battery life']","['negative']"
"Then HP sends it back to me with the hardware screwed up, not able to connect.","1","['hardware']","['negative']"
"Oh yeah, don't forget the expensive shipping to and from HP.","1","['shipping']","['negative']"
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.","3","['use', 'Mac software', 'Microsoft software']","['positive', 'positive', 'negative']"
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.","2","['editing', 'delete  key']","['negative', 'negative']"
"Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.","4","['use', 'service', 'phone assistance', 'genius bar']","['positive', 'positive', 'positive', 'positive']"
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","6","['battery life', 'web browsing', 'word editing', 'gaming', 'movie playing', 'battery life']","['positive', 'neutral', 'neutral', 'neutral', 'neutral', 'positive']"
"Acer has set me up with FREE recovery discs, when they are available since I asked.","1","['recovery discs']","['positive']"
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","1","['Office Max\'s ""Max Assurance""']","['neutral']"
"I eventually did the migration from my iMac backup disc which uses USB.","2","['iMac backup disc', 'USB']","['neutral', 'neutral']"
"The battery life seems to be very good, and have had no issues with it.","1","['battery life']","['positive']"
"Enabling the battery timer is useless.","1","['battery timer']","['negative']"
"Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.","2","['Temperatures', 'Core Processing Unit temperatures']","['neutral', 'neutral']"
"Going to bring it to service today.","1","['service']","['neutral']"
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.","1","['virus protection for Mac']","['positive']"
